"X1772066100_D04" "X1772063062_G01" "X1772060224_F07" "X1772071035_G09" "X1772067066_E12" "X1772066100_B01" "X1772067096_G10" "X1772071017_B11" "X1772062109_A07" "X1772067065_F11" "X1772066100_G07" "X1772067073_C01" "X1772066098_D07" "X1772066070_H10" "X1772067093_A10" "X1772071044_C01" "X1772066070_A11" "X1772066076_A11" "X1772071017_A09" "X1772063078_C07" "X1772063078_B07" "X1772062116_E08" "X1772060225_A07" "X1772058171_G01" "X1772067059_A07" "X1772067074_D04" "X1772067065_H06" "X1772062115_E07" "X1772060225_D09" "X1772066098_C02" "X1772066073_E09" "X1772067096_A01" "X1772066080_A04" "X1772066100_A05" "X1772071035_G06" "X1772066102_B06" "X1772071036_E06" "X1772063077_D02" "X1772071017_B01" "X1772071017_A10" "X1772062115_G12" "X1772067073_H07" "X1772066096_C05" "X1772071044_H10" "X1772063074_A01" "X1772058171_F05" "X1772067083_G04" "X1772071035_E06" "X1772067058_C04" "X1772062116_B01" "X1772067082_F08" "X1772071017_B03" "X1772063068_D06" "X1772067058_C05" "X1772067073_E04" "X1772063074_G10" "X1772071044_F10" "X1772062128_C04" "X1772071041_E05" "X1772066102_F06" "X1772066076_F11" "X1772071044_A03" "X1772067059_E12" "X1772066108_E06" "X1772067058_E08" "X1772063061_B03" "X1772067065_F07" "X1772063068_G06" "X1772066076_A07" "X1772066099_C12" "X1772067065_E07" "X1772067094_C07" "X1772066107_H06" "X1772062114_H12" "X1772067094_H11" "X1772062114_H10" "X1772071014_D03" "X1772067066_C06" "X1772067073_E11" "X1772062113_C09" "X1772067093_H07" "X1772066101_F04" "X1772062111_G03" "X1772067057_B09" "X1772067059_H04" "X1772066101_E12" "X1772062113_G01" "X1772067057_G05" "X1772071045_H03" "X1772066095_G03" "X1772066098_A01" "X1772067058_B03" "X1772060240_C04" "X1772066096_B07" "X1772067064_E04" "X1772067070_H09" "X1772063071_H02" "X1772062111_D11" "X1772066098_B12" "X1772071014_E05" "X1772067083_F08" "X1772063079_C12" "X1772066100_E09" "X1772062109_H02" "X1772066074_C08" "X1772060226_D12" "X1772062118_F04" "X1772063061_G08" "X1772058148_H08" "X1772067059_H12" "X1772066102_G12" "X1772060226_H02" "X1772066108_D06" "X1772063074_C12" "X1772062128_E08" "X1772066070_H05" "X1772066102_A09" "X1772067082_A01" "X1772071036_C12" "X1772066100_D08" "X1772060225_D07" "X1772063062_C11" "X1772066103_C03" "X1772062114_B09" "X1772066107_B12" "X1772071015_D06" "X1772071017_A06" "X1772066097_C11" "X1772066070_F04" "X1772066101_G05" "X1772062128_A07" "X1772067057_H06" "X1772060226_F12" "X1772063078_C08" "X1772066099_H05" "X1772066101_D08" "X1772062116_C11" "X1772071035_G04" "X1772063078_H04" "X1772067059_E06" "X1772060225_C02" "X1772062115_D05" "X1772058171_B09" "X1772066077_G12" "X1772060226_B03" "X1772060226_C07" "X1772066073_F08" "X1772063071_B11" "X1772062128_G11" "X1772067076_F05" "X1772067066_E10" "X1772063063_G08" "X1772066101_H08" "X1772067083_H04" "X1772063064_E06" "X1772067076_A06" "X1772066099_E06" "X1772067058_H10" "X1772071036_A09" "X1772071036_A06" "X1772071045_H07" "X1772062116_E02" "X1772067070_C04" "X1772067054_G12" "X1772063071_H07" "X1772066099_H03" "X1772062111_G01" "X1772067083_B12" "X1772067059_B06" "X1772062118_B03" "X1772062113_C03" "X1772067058_H08" "X1772062116_G09" "X1772066098_C05" "X1772067059_G12" "X1772062128_F05" "X1772067065_F10" "X1772067082_H03" "X1772062115_B06" "X1772063065_F12" "X1772066099_B06" "X1772060224_A01" "X1772066074_C01" "X1772071040_H06" "X1772066102_B05" "X1772066098_B02" "X1772071035_F05" "X1772067069_C11" "X1772067082_D07" "X1772071045_E10" "X1772067058_H05" "X1772063074_G12" "X1772067094_A02" "X1772066077_C12" "X1772062118_D02" "X1772067064_B10" "X1772066098_B06" "X1772060240_D05" "X1772062118_A11" "X1772062128_F01"
"Pcdh7" 0 0 0 4 0 4 0 0 0 1 1 4 0 2 0 0 0 2 19 0 0 1 1 0 1 2 3 0 0 0 1 0 0 5 1 1 0 0 3 3 0 0 0 0 1 0 0 6 0 2 0 9 2 0 1 0 0 1 0 0 1 12 3 5 1 0 0 2 0 0 0 0 6 1 0 0 5 1 0 1 0 1 0 0 4 0 0 3 0 0 0 1 1 0 4 0 0 0 0 2 1 0 2 1 1 0 1 0 1 1 2 4 0 0 1 1 1 0 5 1 0 0 0 0 0 6 1 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 2 4 6 2 2 1 1 0 0 0 0 1 0 2 0 0 2 0 1 0 0 0 0 0 0 2 1 1 0 0 1 2 0 0 3 0 2 0 1 0 0 0 1 1 0 0
"Camk1d" 1 0 0 6 0 2 3 1 0 1 1 0 0 1 1 0 1 0 15 0 0 0 0 0 5 0 1 0 0 0 3 5 1 2 4 1 0 0 0 1 0 0 1 4 0 0 0 4 0 1 2 1 0 5 0 0 2 0 0 5 0 3 18 0 0 3 0 0 2 1 0 0 7 0 25 0 1 0 0 0 2 3 0 0 20 1 0 4 1 2 0 0 0 4 1 0 0 0 2 1 0 0 3 0 4 0 0 0 0 2 1 0 0 0 0 0 2 0 16 0 0 0 1 0 2 4 1 1 2 0 0 3 2 0 2 0 0 6 0 4 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 6 8 3 5 2 9 0 0 0 0 3 0 0 14 0 0 0 1 0 1 0 0 0 0 0 5 0 2 0 6 1 3 0 0 1 4 0 1 4 0 0 2 0 0 0
"Ank" 0 1 0 5 1 0 0 3 0 2 0 3 0 0 0 0 0 1 3 0 0 1 0 3 3 0 4 3 0 0 7 2 2 1 0 2 0 2 1 4 0 0 2 3 1 1 0 1 0 1 1 2 0 1 2 1 0 0 2 4 0 2 4 1 2 4 2 0 0 1 1 0 3 2 0 1 2 0 2 0 2 5 0 0 0 0 5 5 0 0 0 0 1 1 0 0 0 2 0 7 0 7 1 1 2 1 0 1 4 3 3 0 1 0 0 2 0 0 5 1 1 0 0 1 1 4 1 1 5 0 0 1 1 2 1 0 7 2 2 2 2 1 0 0 0 0 3 1 1 1 1 1 0 0 0 3 1 0 1 0 2 0 3 0 2 1 0 1 7 2 1 0 0 1 0 0 2 1 0 0 0 0 0 0 1 1 2 0 0 3 1 2 1 1 1 1 2 1 0 0
"Herc2" 3 0 2 7 1 1 4 4 0 6 0 1 0 3 4 1 6 1 14 1 1 2 0 3 12 3 4 0 0 0 3 3 0 1 2 0 0 0 4 8 0 2 0 1 0 0 1 8 1 1 1 4 0 2 0 0 2 1 2 0 1 2 14 5 1 1 1 0 0 3 7 0 8 1 5 0 4 0 1 0 4 3 0 1 13 2 0 8 2 1 0 0 1 2 7 0 0 0 0 2 2 0 4 0 6 0 1 0 1 8 7 3 2 0 0 5 1 2 8 0 0 2 1 0 2 3 3 4 4 1 0 5 0 0 0 0 2 3 0 2 1 0 0 6 0 0 6 1 0 1 1 0 0 1 1 7 8 1 10 0 7 4 1 0 0 1 2 3 12 0 1 2 0 0 1 0 1 0 0 0 6 0 1 0 7 1 3 0 6 0 6 1 2 2 0 1 1 0 0 0
"Brd2" 1 1 3 9 0 0 3 5 0 6 2 0 1 0 1 1 1 1 6 0 0 0 0 0 2 0 4 1 0 1 1 0 8 1 0 2 0 0 13 7 2 0 0 3 0 3 0 5 2 1 1 2 0 1 1 0 0 15 0 4 1 3 9 1 0 2 2 1 0 0 7 4 2 2 6 0 0 0 3 0 6 2 0 0 9 3 2 3 0 0 0 0 2 2 5 4 2 0 0 4 3 0 1 1 5 4 0 0 1 2 1 1 0 0 1 0 2 1 2 2 0 0 0 0 0 7 4 2 0 0 0 1 0 0 1 4 0 2 4 2 0 0 0 3 1 0 1 0 0 1 5 1 1 0 0 3 2 3 1 0 4 1 4 0 2 1 1 6 4 1 0 0 0 1 10 0 0 5 2 1 1 4 0 0 2 4 2 0 1 4 4 3 0 3 0 1 1 0 0 0
"Fbxo11" 0 0 0 9 0 1 3 6 0 1 1 0 0 4 2 0 3 0 6 0 0 0 0 7 3 0 4 0 0 0 3 1 2 1 1 2 0 0 0 2 0 0 1 3 3 0 2 6 0 2 0 2 0 3 0 0 0 0 0 3 0 0 3 0 0 1 0 0 0 1 2 3 6 0 10 0 2 0 0 0 4 3 0 0 2 0 0 7 3 0 0 0 0 2 5 0 0 2 1 6 0 1 0 1 1 0 0 0 0 4 3 0 1 0 0 1 1 0 5 0 0 0 2 0 2 5 0 3 3 1 0 4 0 0 1 1 0 1 0 2 0 0 0 0 0 0 6 0 0 3 0 0 0 0 0 6 5 1 4 6 4 2 0 0 0 0 2 1 11 0 0 0 1 0 5 0 1 1 0 0 6 0 0 0 1 0 2 0 1 0 4 1 5 0 0 2 0 0 0 0
"Atp2b2" 1 3 3 11 0 0 7 15 0 13 2 4 0 2 1 0 9 0 16 1 1 1 0 0 2 1 14 0 0 0 7 0 12 3 2 3 1 0 13 25 0 3 3 7 0 0 0 14 0 7 0 10 1 10 5 0 5 0 0 3 0 7 19 3 0 4 16 2 0 6 6 0 21 0 5 0 5 0 0 0 9 5 2 0 26 3 0 16 1 2 0 0 3 14 39 0 0 0 0 11 8 0 2 0 7 1 0 2 11 6 8 1 2 0 0 7 24 2 14 2 0 0 0 0 1 17 9 5 3 0 0 7 2 0 6 4 2 7 0 6 0 0 0 11 0 2 5 0 0 18 8 1 0 0 4 15 7 5 9 11 5 0 1 0 0 4 2 7 14 1 2 1 1 2 9 0 1 1 0 0 9 1 2 0 15 0 3 0 6 3 8 0 3 3 0 0 0 3 0 0
"Lphn1" 2 0 3 17 0 2 2 7 0 3 1 2 0 3 3 0 5 0 14 1 0 1 0 0 13 0 6 0 0 2 5 0 5 0 5 0 0 0 8 7 0 0 0 8 0 0 2 14 0 10 5 6 1 5 0 0 2 0 0 4 0 7 15 5 1 1 4 1 0 4 3 0 16 0 1 0 2 1 0 1 7 2 0 1 17 2 0 11 0 1 0 2 3 3 5 1 0 0 1 7 3 0 7 0 8 0 1 0 4 7 5 1 3 0 0 3 3 2 12 2 0 3 4 1 1 4 7 2 2 0 1 4 0 0 7 5 0 1 0 3 2 0 0 8 0 0 3 1 0 5 3 0 0 1 1 15 7 5 15 7 5 0 1 0 0 1 0 3 10 0 3 3 0 0 9 1 2 0 0 0 7 0 1 0 5 1 1 0 10 7 5 0 3 8 0 0 0 0 0 0
"Abr" 2 7 4 23 0 2 7 10 3 8 2 1 1 4 4 2 7 1 25 0 0 0 0 0 4 1 6 0 0 4 4 6 4 5 3 5 3 0 6 4 0 0 3 9 0 0 4 17 1 1 3 3 1 8 1 0 6 13 0 7 0 9 26 4 0 2 22 0 0 1 5 0 16 0 25 0 17 1 0 0 0 4 2 0 25 5 0 31 1 5 2 4 0 10 11 0 3 0 0 0 4 0 4 0 13 0 0 0 5 12 6 0 0 0 0 6 9 4 26 1 0 0 5 0 5 2 5 2 17 1 0 8 0 3 11 3 0 8 0 5 0 0 0 4 0 0 3 6 0 16 8 3 0 4 4 12 17 9 22 8 20 0 0 3 0 2 0 6 14 0 0 2 1 1 10 0 2 4 0 0 10 3 9 0 10 1 6 4 1 12 12 0 15 9 0 0 1 0 0 3
"Asph" 2 0 0 7 0 1 0 18 0 3 1 0 0 1 0 0 1 2 1 0 0 1 0 0 2 0 0 0 0 2 3 0 2 0 0 0 0 0 3 3 0 0 2 1 0 0 0 6 0 0 2 12 0 5 0 0 0 0 0 4 0 2 5 7 2 0 4 4 0 0 1 0 4 0 6 0 18 3 0 0 0 3 5 1 4 0 0 1 1 0 0 1 2 2 9 0 0 0 0 6 0 0 1 1 3 0 0 0 0 4 1 0 0 0 5 0 1 0 2 0 0 0 2 0 0 2 3 0 1 0 0 2 1 1 2 0 0 3 0 0 2 0 0 1 0 0 1 1 0 1 8 0 0 0 0 6 3 1 7 3 3 0 2 3 0 0 0 2 0 0 0 0 0 0 0 0 7 2 0 0 3 0 4 0 3 1 1 5 1 3 2 0 0 2 0 0 0 1 0 4
"Bai1" 0 0 0 3 1 0 1 2 0 9 2 2 0 1 0 1 0 0 7 0 0 0 0 0 4 1 1 1 0 0 2 0 1 1 4 1 1 0 5 15 2 0 2 0 2 0 1 8 0 4 2 1 1 0 1 0 1 0 0 0 0 1 6 0 0 1 3 2 0 3 0 0 7 1 4 0 0 0 0 0 2 0 0 0 8 1 0 9 1 0 0 0 5 2 12 1 2 0 0 3 3 1 2 0 0 0 0 0 8 7 2 0 3 0 0 0 5 0 6 2 0 1 3 0 2 1 2 2 2 0 0 1 1 1 3 1 1 1 0 0 0 0 1 6 0 1 0 0 0 2 3 0 0 0 1 2 4 2 4 2 4 0 1 0 3 2 1 1 1 0 3 1 1 2 3 0 2 1 3 1 2 2 1 0 3 2 2 1 2 5 4 0 1 3 0 0 0 0 0 0
"Strbp" 0 1 1 10 0 2 2 7 0 10 9 4 0 2 0 0 4 0 15 1 2 3 0 1 6 0 6 0 2 1 5 3 7 0 6 1 0 0 3 5 0 0 1 7 0 0 2 16 0 10 4 9 0 6 4 0 5 0 1 1 0 3 16 15 0 1 3 5 0 6 12 0 15 0 0 0 4 0 0 0 11 7 3 0 13 2 0 7 2 1 0 0 1 6 22 0 0 0 1 4 3 0 4 0 7 1 1 0 4 4 6 5 1 0 0 4 6 0 6 1 0 2 2 0 0 6 1 3 5 0 0 10 2 0 7 5 0 5 0 4 1 0 0 4 0 0 4 3 0 3 1 0 0 1 1 3 3 2 12 4 9 0 0 1 0 2 0 4 26 0 1 3 0 4 3 0 7 1 0 0 10 2 2 0 6 2 3 0 7 2 5 0 2 2 0 0 0 2 4 0
"Gjc3" 0 4 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 10 6 5 19 5 0 0 0 1 0 0 0 0 3 0 0 0 0 11 0 0 4 0 0 0 3 3 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 2 0 0 0 0 2 1 0 4 0 0 1 2 0 0 0 0 0 0 10 0 0 0 0 0 2 0 0 16 0 5 0 0 0 11 0 3 0 9 0 5 0 0 0 3 0 2 4 0 0 0 0 0 4 0 0 1 1 0 0 1 0 0 0 0 0 2 0 0 8 0 1 0 4 1 4 0 6 7 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 2 0 0 5 4 0 0 0 0 0 0 0 3 4 0 3 0 17 0 0 0 0 0 0 0 2 0 0 8 7 0 0 0 0
"Csrp1" 0 4 1 0 5 0 0 0 10 0 0 0 5 0 0 0 0 4 0 7 4 14 3 14 6 0 0 14 10 1 0 0 8 0 0 0 9 9 0 0 15 1 0 0 7 6 0 0 0 7 0 0 3 0 0 5 0 1 7 0 13 0 0 0 2 1 0 7 0 0 0 0 0 6 0 6 0 3 5 0 0 0 0 0 0 0 21 0 0 0 1 1 4 0 0 4 6 10 2 0 0 10 0 9 0 11 0 5 1 0 0 0 6 3 2 0 0 0 0 0 5 1 0 13 0 0 0 0 0 3 0 0 0 14 0 0 14 0 8 0 4 7 4 0 8 8 0 1 1 0 0 1 10 0 1 0 0 0 1 0 0 5 0 0 1 0 6 0 0 3 11 0 0 0 0 1 0 0 4 8 0 9 0 10 0 0 0 3 0 0 0 10 0 0 14 12 2 4 0 1
"Gatm" 0 15 11 0 5 0 0 0 23 0 0 0 0 0 0 0 0 0 0 1 4 14 0 21 11 6 0 4 10 1 1 0 14 0 0 0 0 12 0 0 5 0 0 0 11 19 0 0 6 0 0 1 0 0 0 12 0 0 11 0 6 0 1 0 0 1 0 1 12 1 0 11 0 13 0 15 0 0 18 5 0 0 0 2 0 0 34 1 0 0 0 0 4 0 0 7 0 30 0 0 0 22 0 8 0 10 7 5 1 0 0 0 13 9 0 0 0 0 0 0 3 0 0 14 8 1 0 0 0 0 1 0 2 5 0 0 26 0 3 0 9 8 22 0 0 3 0 0 25 0 0 1 5 0 0 0 2 0 0 0 0 9 8 0 0 2 15 0 0 13 5 0 0 0 0 3 0 0 6 3 0 6 0 11 0 0 0 0 0 0 0 19 0 0 22 15 2 0 4 0
"Bcan" 0 0 1 0 0 0 1 0 2 0 0 0 5 0 0 1 0 7 0 0 0 0 0 0 0 0 0 0 0 13 1 0 1 0 0 0 8 4 0 0 0 9 0 0 0 0 0 1 2 7 0 0 1 0 12 0 4 8 0 0 0 0 4 0 16 2 0 0 0 0 0 0 1 0 0 0 0 6 0 0 0 0 0 0 0 1 0 0 0 0 3 6 1 2 0 0 3 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 10 0 0 0 0 0 0 10 0 1 7 0 0 0 0 5 0 0 0 1 0 1 0 0 0 1 0 0 0 3 0 0 1 19 0 1 0 11 0 0 16 1 0 0 0 0 3 0 0 4 8 0 0 0 2 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 9 0 3 1 0 0 1 1 0 6 9 0 17
"Rnf44" 0 0 0 0 0 0 0 2 0 1 1 0 2 2 0 3 1 0 3 0 0 0 0 5 1 5 0 0 0 0 0 0 0 0 3 0 0 0 3 4 1 0 0 5 0 0 4 4 0 0 1 2 0 0 0 1 4 0 0 2 0 1 6 2 0 0 0 0 1 0 3 0 3 2 13 0 3 4 1 0 0 2 0 0 6 2 2 3 0 0 0 0 0 4 7 0 6 3 0 3 0 4 2 0 2 0 3 0 2 5 5 0 0 0 1 1 3 1 3 3 0 0 0 0 0 0 2 1 0 0 0 2 0 0 0 0 2 1 2 1 0 0 0 4 0 2 2 0 0 0 9 1 0 0 0 0 5 3 4 2 2 0 0 0 0 0 0 1 2 0 1 5 0 0 5 0 1 7 1 1 1 0 0 3 0 0 0 0 4 5 4 0 0 4 0 2 0 0 0 0
"Efnb3" 0 2 0 3 6 1 1 3 9 0 0 0 0 0 1 0 0 0 0 3 1 5 3 13 4 0 0 4 3 0 3 1 5 0 2 0 0 7 0 2 2 0 0 2 8 7 1 5 0 0 0 0 0 4 0 3 0 0 3 1 1 3 10 0 1 0 2 4 0 0 0 0 7 1 5 2 0 0 6 1 0 0 0 0 8 3 10 9 0 0 0 0 1 1 1 11 0 8 0 0 0 4 1 2 5 13 1 6 2 3 0 0 1 5 0 3 3 0 7 1 3 0 3 2 0 1 3 0 4 0 0 1 0 8 4 2 3 0 5 8 2 1 8 3 5 2 3 0 3 4 0 0 2 1 0 0 6 2 5 1 9 1 0 0 0 0 3 2 1 1 6 0 0 1 1 0 0 0 5 4 5 4 0 14 4 1 0 0 3 2 1 5 2 2 3 10 0 0 0 0
"Rap1a" 0 0 1 1 4 1 2 1 2 0 0 0 0 0 1 0 1 1 0 0 0 9 0 15 4 0 2 0 1 2 2 0 3 1 1 0 0 1 0 4 1 0 0 2 5 3 0 3 0 0 0 0 0 0 0 3 0 0 0 1 2 0 4 0 0 0 5 0 12 0 2 0 4 4 9 0 4 0 4 2 0 0 0 1 4 0 4 5 0 0 0 0 2 3 4 9 0 8 0 0 2 6 0 6 2 1 0 0 1 0 1 1 2 0 7 1 1 0 7 1 1 0 0 0 1 1 0 1 2 1 0 0 0 1 2 0 6 0 1 1 2 2 7 0 4 2 1 0 1 4 2 0 2 0 0 0 3 2 4 0 0 7 0 0 0 3 1 1 2 0 2 2 0 1 0 7 0 1 3 0 1 3 0 3 0 1 0 0 3 0 2 4 3 2 2 9 0 0 0 5
"Ddr1" 1 1 3 0 1 1 0 0 5 0 1 1 0 0 0 0 1 3 1 2 3 0 0 17 0 0 1 3 7 0 0 0 2 0 0 0 0 7 2 0 1 0 1 0 0 6 0 0 0 0 0 0 1 0 0 0 4 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 1 1 0 2 0 0 1 0 5 0 0 0 0 0 19 0 0 0 0 4 3 0 0 0 0 6 0 0 0 19 0 5 0 4 0 4 0 1 1 0 9 2 0 0 0 0 0 0 1 0 0 2 0 2 0 0 1 0 0 0 0 4 0 0 5 0 1 0 1 1 15 0 9 1 0 0 5 0 0 1 2 0 0 3 0 0 0 0 0 2 0 0 0 0 6 1 0 1 2 0 0 0 0 0 0 1 7 5 1 3 0 6 0 0 0 1 0 0 0 2 0 1 2 7 1 1 0 0
"Tulp4" 0 2 0 4 4 1 0 5 3 1 1 0 1 0 0 1 2 1 3 2 0 2 2 5 2 1 1 2 0 0 0 0 3 0 0 0 0 10 5 0 1 0 0 1 0 2 1 1 0 0 1 1 0 0 0 3 1 0 0 1 1 1 7 1 3 0 3 2 0 0 1 0 1 1 6 3 3 0 5 0 3 2 3 0 2 1 2 3 0 0 0 0 4 0 2 1 0 2 0 2 3 2 4 1 2 2 0 0 0 0 4 1 5 6 0 1 0 0 3 1 0 0 3 2 4 5 0 2 0 0 0 1 0 1 0 0 1 3 4 0 0 2 0 2 0 0 3 0 1 1 1 0 1 2 0 3 1 3 2 2 2 1 1 0 0 0 0 0 4 3 3 2 0 0 1 1 0 0 1 1 1 6 3 5 1 0 1 0 2 1 3 7 1 1 1 4 2 0 0 0
"Tpd52" 0 0 0 3 1 0 0 0 2 0 0 0 0 0 0 0 1 1 2 0 4 0 1 2 5 0 0 2 3 0 1 0 6 1 0 0 0 0 0 1 1 0 0 7 5 4 0 0 0 0 0 0 0 1 0 1 0 0 1 2 1 3 1 2 0 1 5 0 5 0 6 0 0 6 6 1 0 0 1 0 0 2 0 1 1 1 2 1 0 0 0 0 0 1 3 0 0 3 0 2 1 0 1 2 0 9 0 4 1 4 0 0 0 2 5 0 1 0 2 1 0 0 0 1 2 0 0 1 0 0 0 1 2 0 0 0 5 0 0 0 1 4 0 1 0 0 0 0 2 0 0 0 1 0 0 1 4 2 4 0 1 0 0 0 0 3 3 0 0 4 0 2 0 0 0 0 0 0 1 2 0 1 0 4 1 0 1 0 0 0 4 2 3 3 2 1 0 0 0 0
"Cadm4" 0 1 0 1 1 0 0 3 2 3 2 1 1 1 0 1 1 5 10 2 0 2 1 1 3 0 1 0 1 0 4 0 3 3 0 0 0 2 3 0 1 0 1 7 1 0 0 0 0 2 0 1 1 1 1 1 0 0 3 0 1 4 1 4 1 0 0 1 0 3 0 0 1 1 1 1 1 0 3 0 3 1 2 0 1 0 1 1 2 0 1 0 2 0 4 1 1 1 0 3 1 5 2 5 0 4 0 0 2 1 2 0 3 1 0 0 0 0 2 0 1 1 0 1 1 5 1 0 1 0 0 0 1 4 2 0 4 3 1 1 1 2 1 1 4 1 0 0 1 2 3 1 1 2 1 5 1 2 2 0 0 1 0 0 0 0 2 1 3 1 1 0 0 0 3 0 0 3 1 1 1 0 0 3 0 0 1 0 2 0 1 4 0 1 1 3 1 1 0 0
"Reep5" 4 1 2 7 4 5 3 3 1 16 10 4 1 1 2 0 3 1 16 0 0 2 0 8 2 0 22 0 0 1 3 41 4 13 5 4 2 4 15 9 0 1 0 20 0 4 4 16 0 0 2 5 1 6 0 0 8 0 0 1 0 7 15 1 7 3 13 0 1 0 12 3 6 0 4 1 7 0 0 1 24 12 1 0 8 0 1 8 2 1 2 0 1 8 8 0 0 2 0 13 7 0 3 1 8 4 0 0 0 3 12 2 2 0 6 5 5 2 15 11 0 0 0 0 1 27 10 0 3 0 0 2 0 0 0 3 1 10 1 1 1 1 4 6 0 1 2 0 0 3 6 3 3 1 0 2 7 9 20 2 5 3 0 0 0 0 2 10 22 0 2 8 1 3 2 3 4 6 1 1 6 0 6 3 10 2 1 0 21 2 14 1 9 4 0 1 2 1 0 0
"Slc12a2" 1 12 0 0 14 2 0 0 3 2 0 1 0 0 0 0 0 1 0 1 6 5 1 11 7 0 0 6 2 0 0 0 6 0 2 4 0 6 2 0 2 0 0 1 5 6 0 1 0 2 0 0 2 0 0 4 0 0 7 1 5 0 0 1 0 2 0 1 0 1 1 0 1 9 1 5 0 0 18 4 0 4 1 0 0 0 8 2 1 1 0 0 9 3 2 6 1 11 0 0 0 16 0 13 0 5 0 5 5 1 0 5 4 2 0 1 1 0 2 1 10 0 0 6 0 1 2 1 1 0 0 0 1 5 0 0 15 0 2 1 4 1 4 3 7 8 0 1 3 1 0 0 2 1 1 3 0 0 1 0 0 4 0 0 0 1 9 0 3 4 3 0 0 0 0 0 1 0 7 4 0 9 0 26 1 0 0 0 1 0 4 12 0 0 6 13 0 0 2 0
"Abcd3" 0 0 1 0 1 0 1 2 1 0 0 3 0 1 0 1 1 1 2 0 0 4 0 0 1 0 2 0 3 2 2 0 2 0 0 1 1 2 2 0 2 0 1 1 2 0 0 0 0 4 0 2 0 0 1 0 0 0 0 3 1 0 3 1 1 0 7 0 1 0 2 0 1 0 3 0 6 3 0 1 0 3 0 0 5 0 2 1 1 0 0 0 1 2 0 0 7 0 0 2 2 2 0 0 1 3 0 0 2 0 1 0 3 3 0 0 0 0 4 0 0 0 1 8 1 1 0 1 0 0 0 2 0 5 0 1 2 5 2 2 3 0 1 0 0 4 2 0 0 3 2 0 1 0 2 2 1 1 3 0 4 0 0 0 0 0 3 1 3 3 2 0 1 1 5 0 0 0 1 0 1 0 0 0 0 0 1 3 0 2 5 0 1 1 1 0 3 1 0 0
"Ktn1" 1 2 4 3 3 0 1 3 3 1 5 0 0 0 0 0 1 2 2 1 0 5 0 3 7 0 5 1 4 1 3 0 2 1 5 1 0 0 4 5 1 1 1 0 0 0 1 2 1 1 1 1 1 0 2 0 3 0 0 1 2 1 7 3 1 0 5 1 0 0 3 0 7 0 2 0 0 3 3 2 0 2 0 1 8 1 0 4 1 0 0 0 1 1 1 2 0 2 0 1 2 0 3 1 5 1 3 1 2 2 1 1 3 1 2 0 3 0 4 1 0 0 0 1 0 1 4 3 1 2 0 1 0 1 1 7 3 2 1 1 2 0 0 2 0 1 1 1 0 4 0 0 2 0 0 3 3 1 8 3 3 4 0 1 0 0 1 1 6 1 2 4 3 0 3 0 0 1 0 0 0 0 2 4 1 0 2 0 2 0 1 2 2 1 1 2 1 0 0 0
"Apod" 0 96 0 0 33 0 0 0 134 0 0 0 0 0 0 0 2 0 1 101 76 95 10 29 22 0 0 31 61 0 0 0 49 0 0 0 0 244 0 0 46 0 0 0 48 51 0 0 0 0 0 2 0 0 0 98 0 0 19 0 61 0 0 0 0 0 0 76 0 0 1 0 0 74 0 60 0 0 62 41 0 0 0 2 0 0 148 0 0 0 0 0 147 0 0 30 0 186 0 0 0 163 0 24 0 65 0 165 1 0 0 0 160 131 0 0 0 0 1 0 68 0 0 77 0 0 0 10 0 0 0 0 0 91 0 0 119 0 107 0 71 76 71 1 8 15 0 0 62 0 0 0 6 0 0 0 0 0 0 0 0 83 0 0 0 0 104 0 0 69 75 0 0 0 0 0 0 0 68 25 0 47 0 108 0 0 0 0 0 0 0 113 0 0 43 38 0 0 5 0
"Ubl3" 2 0 2 6 10 3 6 8 4 5 3 0 3 3 2 1 5 1 7 2 1 6 0 5 9 2 10 5 1 2 4 10 3 13 3 3 4 6 2 0 8 0 0 12 1 7 3 9 0 4 0 7 4 2 0 1 10 0 3 4 0 1 9 9 0 5 9 1 0 3 9 4 1 3 19 2 9 0 5 2 19 6 0 1 7 1 5 6 1 0 0 0 3 3 7 4 1 4 0 4 7 4 3 3 6 2 0 0 2 6 6 0 6 1 0 0 5 0 9 3 0 2 0 3 3 6 5 3 2 0 0 2 0 1 2 3 8 3 1 4 1 4 2 2 0 3 4 0 11 1 5 4 3 0 1 15 7 3 10 1 2 1 0 0 0 1 2 9 11 2 1 1 0 1 3 0 6 2 1 1 5 1 0 5 5 3 4 0 4 1 8 6 8 1 4 4 2 0 0 1
